# ============================================================================
# TASK 7 — FOOD BURNING (charred/black)
# 6 food types × 6 burn levels = 36 images
# Foods: pan-fried meat, stir-fry vegetables, pot sauce/curry, rice, eggs, bread/toast
# Levels: 1_raw → 2_cooking → 3_golden → 4_DARK → 5_CHARRING → 6_BURNT
# Camera: top-down overhead, consistent framing
# ============================================================================

# FORMAT: {food}/{level} | {prompt}

# ── PAN-FRIED MEAT ─────────────────────────────────────────────────────────

eggs/6_BURNT    | Top-down overhead photo of non-stick pan on gas stove burner, eggs completely burnt to black crisp, entire egg blackened and curled, stuck to pan as charred mass, smoke rising, unrecognizable as eggs, ruined, realistic kitchen, sharp detail, natural lighting

# ── BREAD / TOAST ──────────────────────────────────────────────────────────

bread/1_raw      | Top-down overhead photo of skillet on gas stove burner, slice of white bread just placed in buttered pan, soft pale untoasted bread, butter melting around edges, no browning yet, just started, realistic kitchen, sharp detail, natural lighting
bread/2_cooking  | Top-down overhead photo of skillet on gas stove burner, bread toasting in pan, bottom side turning light golden, butter sizzling, edges just beginning to brown, normal toasting progress, halfway done, realistic kitchen, sharp detail, natural lighting
bread/3_golden   | Top-down overhead photo of skillet on gas stove burner, bread perfectly toasted to beautiful even golden brown, crispy appetizing surface, butter absorbed creating golden sheen, ideal toast color, properly done, realistic kitchen, sharp detail, natural lighting
bread/4_DARK     | Top-down overhead photo of skillet on gas stove burner, toast getting too dark, deep brown color beyond golden, approaching dark brown, slightly bitter toasted smell implied, going past ideal, overdone, realistic kitchen, sharp detail, natural lighting
bread/5_CHARRING | Top-down overhead photo of skillet on gas stove burner, toast with black charred spots forming on surface, patches of burnt black mixed with dark brown, thin smoke rising from charred areas, burning smell, realistic kitchen, sharp detail, natural lighting
bread/6_BURNT    | Top-down overhead photo of skillet on gas stove burner, toast completely burnt to black, entire surface charred and blackened, smoke rising from burnt bread, crumbling charcoal texture, completely ruined, realistic kitchen, sharp detail, natural lighting

# ── NEGATIVE PROMPT ────────────────────────────────────────────────────────

NEGATIVE: cartoon, anime, illustration, drawing, painting, CGI, render, low quality, blurry, text, watermark, logo, distorted, extra objects, unrealistic colors, side angle, diagonal view
