# ============================================================================
# TASK 6 — WATER BOILING VS NOT
# 6 vessels × 6 boil states = 36 images
# Vessels: stainless pot, saucepan, stock pot, glass pot, dutch oven, wok
# States: 1_cold → 2_warm → 3_pre_simmer → 4_simmer → 5_BOIL → 6_RAPID_BOIL
# Camera: top-down overhead, consistent framing
# ============================================================================

# FORMAT: {vessel}/{state} | {prompt}

# ── STAINLESS POT ──────────────────────────────────────────────────────────

glass/2_warm        | Top-down overhead photo of clear glass pot on gas stove burner, water warming visible through glass walls, tiny bubbles clinging to glass interior surfaces, water surface still flat, very slight warmth, no steam, realistic kitchen, sharp detail, natural lighting
glass/3_pre_simmer  | Top-down overhead photo of clear glass pot on gas stove burner, water getting hotter visible through glass, bubble streams rising from bottom visible through sides, surface starting to move, earliest wisps of steam, realistic kitchen, sharp detail, natural lighting
glass/4_simmer      | Top-down overhead photo of clear glass pot on gas stove burner, water at gentle simmer, convection currents visible through glass, steady bubbles rising, light steam from surface, gentle activity, below full boil, realistic kitchen, sharp detail, natural lighting
glass/5_BOIL        | Top-down overhead photo of clear glass pot on gas stove burner, water at full rolling boil, large bubbles visible through glass rising rapidly, turbulent churning surface, steam rising significantly, clearly boiling, realistic kitchen, sharp detail, natural lighting
glass/6_RAPID_BOIL  | Top-down overhead photo of clear glass pot on gas stove burner, water at violent rapid boil, massive bubble columns visible through glass, surface completely broken by erupting bubbles, heavy steam and condensation on glass lid, extreme boiling, realistic kitchen, sharp detail, natural lighting

# ── DUTCH OVEN ─────────────────────────────────────────────────────────────

dutch/1_cold        | Top-down overhead photo of cast iron dutch oven on gas stove burner, cold water inside, dark interior, perfectly still flat water surface, no bubbles, no steam, heavy pot sitting cold, burner off, realistic kitchen, sharp detail, natural lighting
dutch/2_warm        | Top-down overhead photo of cast iron dutch oven on gas stove burner, water beginning to warm in heavy pot, tiny micro bubbles on dark interior surface, water surface still calm and flat, cast iron retaining early heat, no steam, realistic kitchen, sharp detail, natural lighting
dutch/3_pre_simmer  | Top-down overhead photo of cast iron dutch oven on gas stove burner, water getting hotter, small bubbles rising from dark bottom, surface beginning to show gentle movement, faint steam wisps, heavy pot heating slowly, realistic kitchen, sharp detail, natural lighting
dutch/4_simmer      | Top-down overhead photo of cast iron dutch oven on gas stove burner, water at gentle simmer, steady small bubbles rising from bottom, light steam, surface gently moving, below full boil, even heat from cast iron, realistic kitchen, sharp detail, natural lighting
dutch/5_BOIL        | Top-down overhead photo of cast iron dutch oven on gas stove burner, water at full rolling boil, large bubbles breaking surface, turbulent water in heavy pot, significant steam rising, clearly boiling, cast iron holding heat well, realistic kitchen, sharp detail, natural lighting
dutch/6_RAPID_BOIL  | Top-down overhead photo of cast iron dutch oven on gas stove burner, water at violent rapid boil, massive bubbles erupting at surface, water sloshing in heavy pot, dense steam cloud, foam at edges, extreme boiling, realistic kitchen, sharp detail, natural lighting

# ── WOK ────────────────────────────────────────────────────────────────────

wok/1_cold        | Top-down overhead photo of carbon steel wok on gas stove burner, cold water pooled in wok bowl, perfectly still flat surface, no bubbles, no steam, water gathered at wok center, burner off, realistic kitchen, sharp detail, natural lighting
wok/2_warm        | Top-down overhead photo of carbon steel wok on gas stove burner, water in wok just warming, tiny bubbles on wok surface especially at center where thinnest, water still mostly calm, no visible steam, realistic kitchen, sharp detail, natural lighting
wok/3_pre_simmer  | Top-down overhead photo of carbon steel wok on gas stove burner, water in wok getting hotter, small bubbles rising from wok center and sides, surface showing movement, wok heats fast, faint steam rising, realistic kitchen, sharp detail, natural lighting
wok/4_simmer      | Top-down overhead photo of carbon steel wok on gas stove burner, water at gentle simmer in wok, bubbles rising at center and edges, light steam, water gently active, wok shape concentrates heat at bottom, below full boil, realistic kitchen, sharp detail, natural lighting
wok/5_BOIL        | Top-down overhead photo of carbon steel wok on gas stove burner, water at full rolling boil in wok, large bubbles erupting from center, turbulent surface, significant steam, water clearly boiling in wide wok shape, realistic kitchen, sharp detail, natural lighting
wok/6_RAPID_BOIL  | Top-down overhead photo of carbon steel wok on gas stove burner, water at violent rapid boil in wok, massive bubbles and splashing, water agitated wildly in wide wok, dense steam cloud, water sloshing at wok sides, extreme boiling, realistic kitchen, sharp detail, natural lighting

# ── NEGATIVE PROMPT ────────────────────────────────────────────────────────

NEGATIVE: cartoon, anime, illustration, drawing, painting, CGI, render, low quality, blurry, text, watermark, logo, distorted, extra objects, unrealistic colors, side angle, diagonal view
