# ============================================================================
# TASK 3 — PERSON PRESENT OR ABSENT
# 6 activities × 6 presence levels = 36 images
# Activities: stirring pot, chopping, wok frying, plating, pouring, pan searing
# Presence: 1_active → 2_both_hands → 3_one_hand → 4_ARM_EDGE → 5_JUST_LEFT → 6_ABSENT
# Camera: top-down overhead, consistent framing
# ============================================================================

# FORMAT: {activity}/{presence} | {prompt}

# ── STIRRING POT ───────────────────────────────────────────────────────────

plating/2_both_hands  | Top-down overhead photo of kitchen counter beside stove, two human hands visible resting near plate with food being arranged, fingers near plate edges, person present at plating station, realistic kitchen, sharp detail, natural lighting
plating/3_one_hand    | Top-down overhead photo of kitchen counter beside stove, one human hand visible reaching for garnish near plate of food, only right hand and wrist in frame, person partially visible, realistic kitchen, sharp detail, natural lighting
plating/4_ARM_EDGE    | Top-down overhead photo of kitchen counter beside stove, half-plated dish on counter, very edge of human forearm barely visible at frame corner, person mostly out of view, realistic kitchen, sharp detail, natural lighting
plating/5_JUST_LEFT   | Top-down overhead photo of kitchen counter beside stove, partially assembled plate of food on counter, tongs set down next to plate at angle, garnishes nearby, no hands visible, no person in frame, plating interrupted, realistic kitchen, sharp detail, natural lighting
plating/6_ABSENT      | Top-down overhead photo of kitchen counter beside stove, finished plated dish sitting alone on counter, no hands visible, no person in frame, nobody present, plate sitting unattended, empty kitchen scene, realistic kitchen, sharp detail, natural lighting

# ── POURING ────────────────────────────────────────────────────────────────

pouring/1_active      | Top-down overhead photo of pot on gas stove burner, both human hands visible pouring liquid from measuring cup into pot, steady stream of broth entering pot, arms in frame, person actively adding ingredients, realistic kitchen, sharp detail, natural lighting
pouring/2_both_hands  | Top-down overhead photo of pot on gas stove burner, two human hands visible holding bottle and pot lid, preparing to pour, person present with both hands in frame, about to add ingredients, realistic kitchen, sharp detail, natural lighting
pouring/3_one_hand    | Top-down overhead photo of pot on gas stove burner, one human hand visible holding sauce bottle over pot, pouring sauce in, only one hand and forearm visible, other hand out of frame, realistic kitchen, sharp detail, natural lighting
pouring/4_ARM_EDGE    | Top-down overhead photo of pot on gas stove burner, cooking in progress, measuring cup set on counter, very edge of human arm barely visible at frame border, person nearly out of view, realistic kitchen, sharp detail, natural lighting
pouring/5_JUST_LEFT   | Top-down overhead photo of pot on gas stove burner, measuring cup placed down on counter next to pot as if just used, liquid freshly added to pot still settling, no hands visible, no person in frame, person just stepped away, realistic kitchen, sharp detail, natural lighting
pouring/6_ABSENT      | Top-down overhead photo of pot on gas stove burner, soup cooking on stove, measuring cups and bottles stored neatly on counter, no hands visible, no person in frame, nobody in kitchen, unattended cooking, realistic kitchen, sharp detail, natural lighting

# ── PAN SEARING ────────────────────────────────────────────────────────────

searing/1_active      | Top-down overhead photo of cast iron pan on gas stove burner, both human hands visible one holding pan handle one holding tongs pressing steak down, active searing, person fully present cooking, realistic kitchen, sharp detail, natural lighting
searing/2_both_hands  | Top-down overhead photo of cast iron pan on gas stove burner, steak searing in pan, two human hands visible resting near pan holding tongs loosely, person present watching sear, realistic kitchen, sharp detail, natural lighting
searing/3_one_hand    | Top-down overhead photo of cast iron pan on gas stove burner, steak in pan sizzling, one human hand visible holding tongs over pan, only one forearm in frame, person partially visible, realistic kitchen, sharp detail, natural lighting
searing/4_ARM_EDGE    | Top-down overhead photo of cast iron pan on gas stove burner, steak searing in pan, very edge of human arm barely visible at frame corner, person almost out of view, realistic kitchen, sharp detail, natural lighting
searing/5_JUST_LEFT   | Top-down overhead photo of cast iron pan on gas stove burner, steak searing in hot pan, tongs placed down on counter beside pan as if just released, no hands visible, no person in frame, person just stepped away, realistic kitchen, sharp detail, natural lighting
searing/6_ABSENT      | Top-down overhead photo of cast iron pan on gas stove burner, steak in pan with flame on high, tongs on counter, no hands visible, no person in frame, nobody present, meat cooking completely unattended, realistic kitchen, sharp detail, natural lighting

# ── NEGATIVE PROMPT ────────────────────────────────────────────────────────

NEGATIVE: cartoon, anime, illustration, drawing, painting, CGI, render, low quality, blurry, text, watermark, logo, distorted, extra objects, unrealistic colors, side angle, diagonal view
